"studyName","Event Number","Datetime GMT","Latitude dec. deg. (º)","Longitude dec. deg. (º)","Julian day","Station name","Percent_Irradiance (%)","Depth (m)","Primary Prod. (mg/m³/day)","Prim Prod STD (mg/m³/day)","Notes"
PAL9495,,"1995-02-16 14:45:00",-64.78833,-64.0725,47,c,11,9,67.78,10.27,
PAL9495,,"1995-02-16 14:45:00",-64.78833,-64.0725,47,c,5,13,49.03,2.62,
PAL9495,,"1995-02-16 14:45:00",-64.78833,-64.0725,47,c,2,18,17.32,3.67,
PAL9495,,"1995-02-16 14:00:00",-64.80667,-64.05112,47,d,100,1,45.45,4.98,
PAL9495,,"1995-02-16 14:00:00",-64.80667,-64.05112,47,d,55,3,71.81,2.02,
PAL9495,,"1995-02-16 14:00:00",-64.80667,-64.05112,47,d,27,7.5,55.89,9.84,
PAL9495,,"1995-02-16 14:00:00",-64.80667,-64.05112,47,d,11,12.5,41.85,0.21,
PAL9495,,"1995-02-16 14:00:00",-64.80667,-64.05112,47,d,5,19,25.3,2.96,
PAL9495,,"1995-02-16 14:00:00",-64.80667,-64.05112,47,d,2,25,9.72,0.36,
PAL9495,,"1995-02-16 13:00:00",-64.815,-64.04222,47,e,100,1,30.95,3.37,
PAL9495,,"1995-02-16 13:00:00",-64.815,-64.04222,47,e,55,5,69.29,1.1,
PAL9495,,"1995-02-16 13:00:00",-64.815,-64.04222,47,e,27,9,46.1,6.21,
PAL9495,,"1995-02-16 13:00:00",-64.815,-64.04222,47,e,11,14,34.54,0.88,
PAL9495,,"1995-02-16 13:00:00",-64.815,-64.04222,47,e,5,20,17.91,6.24,
PAL9495,,"1995-02-16 13:00:00",-64.815,-64.04222,47,e,2,27,8.58,0.53,
PAL9495,,"1995-02-21 15:45:00",-64.07945,-64.0725,52,b,100,1,60.95,14.62,
PAL9495,,"1995-02-21 15:45:00",-64.07945,-64.0725,52,b,55,3,147.37,17.2,
PAL9495,,"1995-02-21 15:45:00",-64.07945,-64.0725,52,b,27,4,201.91,2.7,
PAL9495,,"1995-02-21 15:45:00",-64.07945,-64.0725,52,b,11,7,129,39.63,
PAL9495,,"1995-02-21 15:45:00",-64.07945,-64.0725,52,b,5,13,63.26,12.19,
PAL9495,,"1995-02-21 15:45:00",-64.07945,-64.0725,52,b,2,23,10.02,0.67,
PAL9495,,"1995-02-21 13:45:00",-64.81528,-64.04195,52,e,100,4,21.88,11.48,
PAL9495,,"1995-02-21 13:45:00",-64.81528,-64.04195,52,e,55,3,33.48,2.11,
PAL9495,,"1995-02-21 13:45:00",-64.81528,-64.04195,52,e,27,11,24.34,3.04,
PAL9495,,"1995-02-21 13:45:00",-64.81528,-64.04195,52,e,11,18,10.81,3.2,
PAL9495,,"1995-02-21 13:45:00",-64.81528,-64.04195,52,e,5,28,6.57,0.13,
PAL9495,,"1995-02-21 13:45:00",-64.81528,-64.04195,52,e,2,34,2.91,0.71,
PAL9495,,"1995-02-23 15:25:00",-64.77945,-64.07333,54,b,100,1,256.83,-999,
PAL9495,,"1995-02-23 15:25:00",-64.77945,-64.07333,54,b,55,2,215.76,65.1,
PAL9495,,"1995-02-23 15:25:00",-64.77945,-64.07333,54,b,27,4.5,250.08,-999,
PAL9495,,"1995-02-23 15:25:00",-64.77945,-64.07333,54,b,11,8.5,107.58,4.56,
PAL9495,,"1995-02-23 15:25:00",-64.77945,-64.07333,54,b,5,22.5,6.12,3.27,
PAL9495,,"1995-02-23 12:00:00",-64.78805,-64.07222,54,c,100,1,169.24,47.84,
PAL9495,,"1995-02-23 12:00:00",-64.78805,-64.07222,54,c,55,2,197.14,7.76,
PAL9495,,"1995-02-23 12:00:00",-64.78805,-64.07222,54,c,27,5,163.12,56.8,
PAL9495,,"1995-02-23 12:00:00",-64.78805,-64.07222,54,c,11,9.5,84.57,15.94,
PAL9495,,"1995-02-23 12:00:00",-64.78805,-64.07222,54,c,5,15,25.41,6.54,
PAL9495,,"1995-02-23 12:00:00",-64.78805,-64.07222,54,c,2,20,4.4,0.3,
PAL9495,,"1995-02-23 13:55:00",-64.80638,-64.05138,54,d,100,1,150.59,44.24,
PAL9495,,"1995-02-23 13:55:00",-64.80638,-64.05138,54,d,55,2,137.78,3.04,
PAL9495,,"1995-02-23 13:55:00",-64.80638,-64.05138,54,d,27,6.5,104.1,10.89,
PAL9495,,"1995-02-23 13:55:00",-64.80638,-64.05138,54,d,11,11.5,67.89,4.03,
PAL9495,,"1995-02-23 13:55:00",-64.80638,-64.05138,54,d,5,17.5,17.39,7.45,
PAL9495,,"1995-02-23 13:55:00",-64.80638,-64.05138,54,d,2,25,7.08,1.45,
PAL9495,,"1995-02-23 13:15:00",-64.81445,-64.04112,54,e,100,1,114.03,14.22,
PAL9495,,"1995-02-23 13:15:00",-64.81445,-64.04112,54,e,55,3.5,149.21,5.87,
PAL9495,,"1995-02-23 13:15:00",-64.81445,-64.04112,54,e,27,8,79.47,20.12,
PAL9495,,"1995-02-23 13:15:00",-64.81445,-64.04112,54,e,11,14,58.56,14.07,
PAL9495,,"1995-02-23 13:15:00",-64.81445,-64.04112,54,e,5,19,23.14,1.88,
PAL9495,,"1995-02-23 13:15:00",-64.81445,-64.04112,54,e,2,26,3.57,0.33,
PAL9495,,"1995-02-27 13:00:00",-64.77945,-64.07362,58,b,100,1,14.9,4.64,
PAL9495,,"1995-02-27 13:00:00",-64.77945,-64.07362,58,b,55,4,27.25,4.36,
PAL9495,,"1995-02-27 13:00:00",-64.77945,-64.07362,58,b,27,7.5,23.22,5.55,
PAL9495,,"1995-02-27 13:00:00",-64.77945,-64.07362,58,b,11,14,4.02,0.08,
PAL9495,,"1995-02-27 13:00:00",-64.77945,-64.07362,58,b,5,25,1.39,0.56,
PAL9495,,"1995-02-27 13:00:00",-64.77945,-64.07362,58,b,2,36,0.51,0.09,
PAL9596,,"1995-11-16 13:10:00",-64.81445,-64.03778,320,E,100,1,13.95,0.21,
PAL9596,,"1995-11-16 13:10:00",-64.81445,-64.03778,320,E,55,3,16.72,0.46,
PAL9596,,"1995-11-16 13:10:00",-64.81445,-64.03778,320,E,27,13,29.95,14.78,
PAL9596,,"1995-11-16 13:10:00",-64.81445,-64.03778,320,E,11,24.5,37.22,1.49,
PAL9596,,"1995-11-16 13:10:00",-64.81445,-64.03778,320,E,5,32,52.55,19.4,
PAL9596,,"1995-11-16 13:10:00",-64.81445,-64.03778,320,E,2,58,13.89,-999,
PAL9596,,"1995-11-16 15:30:00",-64.77888,-64.07222,320,B,100,1,128.54,36.36,
PAL9596,,"1995-11-16 15:30:00",-64.77888,-64.07222,320,B,55,4,245.48,50.21,
PAL9596,,"1995-11-16 15:30:00",-64.77888,-64.07222,320,B,27,7,232.17,46.2,
PAL9596,,"1995-11-16 15:30:00",-64.77888,-64.07222,320,B,11,12,153.93,22.32,
PAL9596,,"1995-11-16 15:30:00",-64.77888,-64.07222,320,B,5,19,86.31,16.42,
PAL9596,,"1995-11-16 15:30:00",-64.77888,-64.07222,320,B,2,24,43.41,4.45,
PAL9596,,"1995-11-20 15:45:00",-64.01055,-64.03945,324,E,100,1,41.8,6.9,
PAL9596,,"1995-11-20 15:45:00",-64.01055,-64.03945,324,E,50,5.5,39.17,3.28,
